Info 0    [8:29:41.316] Starting TS Server
Info 1    [8:29:41.317] Version: 3.7.4
Info 2    [8:29:41.317] Arguments: /usr/bin/node /usr/bin/tsserver --logFile /emacsDocuments/myapp/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/af1f9632d689bc16fd4538869f69ac51/tscancellation*
Info 3    [8:29:41.317] Platform: linux NodeVersion: 13 CaseSensitive: true
Info 4    [8:29:41.332] Search path: /emacsDocuments/myapp
Info 5    [8:29:41.332] For info: /emacsDocuments/myapp/package.json :: No config files found.
Info 6    [8:29:41.336] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [8:29:44.983] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 3647ms
Info 8    [8:29:44.983] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [8:29:44.984] 	Files (120)

Info 10   [8:29:44.984] -----------------------------------------------
Info 11   [8:29:50.302] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [8:29:50.948] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true Elapsed: 646ms
Info 13   [8:29:50.948] Project '/dev/null/inferredProject1*' (Inferred) 
Info 14   [8:29:50.948] 	Files (142)

Info 15   [8:29:50.948] -----------------------------------------------
Info 16   [8:29:50.949] Structure before ensureProjectForOpenFiles:
Info 17   [8:29:50.949] Structure after ensureProjectForOpenFiles:
Info 18   [8:29:50.950] got projects updated in background, updating diagnostics for /emacsDocuments/myapp/package.json
Info 19   [8:29:53.39] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [8:29:53.114] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: true Elapsed: 75ms
Info 21   [8:29:53.114] Project '/dev/null/inferredProject1*' (Inferred) 
Info 22   [8:29:53.114] 	Files (139)

Info 23   [8:29:53.114] -----------------------------------------------
Info 24   [8:29:53.115] Structure before ensureProjectForOpenFiles:
Info 25   [8:29:53.115] Structure after ensureProjectForOpenFiles:
Info 26   [8:29:53.115] got projects updated in background, updating diagnostics for /emacsDocuments/myapp/package.json
Info 27   [8:29:53.856] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 28   [8:29:53.918] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: true Elapsed: 62ms
Info 29   [8:29:53.918] Project '/dev/null/inferredProject1*' (Inferred) 
Info 30   [8:29:53.918] 	Files (139)

Info 31   [8:29:53.918] -----------------------------------------------
Info 32   [8:29:53.919] Structure before ensureProjectForOpenFiles:
Info 33   [8:29:53.919] Structure after ensureProjectForOpenFiles:
Info 34   [8:29:53.919] got projects updated in background, updating diagnostics for /emacsDocuments/myapp/package.json
Info 35   [8:29:54.647] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [8:29:54.659] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 12ms
Info 37   [8:29:54.659] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 38   [8:29:54.660] Structure before ensureProjectForOpenFiles:
Info 39   [8:29:54.660] Structure after ensureProjectForOpenFiles:
Info 40   [8:29:54.660] got projects updated in background, updating diagnostics for /emacsDocuments/myapp/package.json
